Solvent,Note,Value
DMA,*0,"In the pKa values column, pKa values followed by capital letter A have been referred, directly or indirectly, to the same standard and may be compared to one another: A: Complete dissociations of HClO4 and p-toluenesulfonic acid."
DMA,*00,Note on the small letter in the Water Content column a: Concentrations of acidic and basic impurities: acids 5.7 x 10-4N and bases 1.0 x 10-4N.
DMA,*1,pKa was obtained by using the Fuoss and Kraus equation. 
DMA,*2,pKa was obtained by using the Shedlovsky method. 
DMA,*3,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. "
DMA,*4,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. "
DMA,*5,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. 
DMA,*6,"Trace water in DMA was removed by adding sodium bis(methoxy-2-ethoxy)aluminohydride NaAIH2(O-CH2-CH2- OCH3)2. The dehydrated DMA gave a pH range of ca. 45 units, as obtained by voltammetry at a hydrogen electrode. pKa of the acid was obtained by using the standard potential of the hydrogen electrode. "
DMA,*7,"Emfs of two cells, glass electrode/HCl(DMA)/AgCl,Ag and glass electrode/Bu4NDH(DMA)/AgCl,Ag, were measured by varying the concentrations of HCl and Bu4NOH. The results were used to determine the standard emf and pKs."
DMA,*7a,"pKs' values in the presence of water were obtained by pKs' = (Es/59) - log c(HClO4)c(Me4NOH), where Es (in mV)is the difference between the half-neutralization potentials of HClO4 and Me4NOH at concentrations c(HClO4) and c(Me4NOH) at the instant of half-neutralization. pKs was obtained as pKs' extrapolated to zero water content. By a different method of extrapolation to zero water content,  pKs ~ 40 was obtained. See also *6. "
HMPA,*0,"In the pKa values column, pKa values followed by capital letter A have been referred, directly or indirectly, to the following standards: A: Complete dissociation of HClO4, pKa(chloroacetic acid) =8.0. "
HMPA,*00,Note on the small letter in the Water Content column:  a Concentration of impurities: acids 2 x 10-4N and bases 2 x 10-4N. 
HMPA,*1,The Fuoss and Kraus equation was used. 
